ItemCode,Description,CategoryDescript,Sum_Qty,StoreCode,Unit_Cost,Value_On_Hand,TextUserField1,TextUserField2,TextUserField3,NumericUserField1,NumericUserField2,NumericUserField3
220635,Retaining Cap,Plasma,1.00,JHB,0.0000,0.000000,,,,0.0000,0.0000,0.0000
220636,Shield 400A,Plasma,28.00,CPT,0.0000,0.000000,,,,0.0000,0.0000,0.0000
220636,Shield 400A,Plasma,20.00,JHB,0.0000,0.000000,,,,0.0000,0.0000,0.0000
220637,Shield Cap 200A,Plasma,6.00,CPT,0.0000,0.000000,,,,0.0000,0.0000,0.0000
220637,Shield Cap 200A,Plasma,-1.00,CPT,89.7500,-89.750000,,,,0.0000,0.0000,0.0000
220637,Shield Cap 200A,Plasma,1.00,JHB,0.0000,0.000000,,,,0.0000,0.0000,0.0000
220637,Shield Cap 200A,Plasma,-1.00,JHB,123.0480,-123.048000,,,,0.0000,0.0000,0.0000
220637,Shield Cap 200A,Plasma,2.00,JHB,285.8990,571.798000,,,,0.0000,0.0000,0.0000
220637,Shield Cap 200A,Plasma,2.00,JHB,471.9040,943.808000,,,,0.0000,0.0000,0.0000
220645,Shield,Plasma,5.00,CPT,0.0000,0.000000,,,,0.0000,0.0000,0.0000
220646,Nozzle 260A,Plasma,183.00,CPT,0.0000,0.000000,,,,0.0000,0.0000,0.0000
220646,Nozzle 260A,Plasma,-15.00,CPT,0.0000,0.000000,,,,0.0000,0.0000,0.0000
220649,Electrode 260A,Plasma,15.00,CPT,0.0000,0.000000,,,,0.0000,0.0000,0.0000
220649,Electrode 260A,Plasma,-15.00,CPT,0.0000,0.000000,,,,0.0000,0.0000,0.0000
220649,Electrode 260A,Plasma,221.00,JHB,0.0000,0.000000,,,,0.0000,0.0000,0.0000
220669,Electrode 40A,Plasma,20.00,CPT,5.8000,116.000000,,,,0.0000,0.0000,0.0000
220669,Electrode 40A,Plasma,105.00,JHB,5.8000,609.000000,,,,0.0000,0.0000,0.0000
220670,Swirl Ring 40A,Plasma,7.00,CPT,0.0000,0.000000,,,,0.0000,0.0000,0.0000
220670,Swirl Ring 40A,Plasma,2.00,JHB,0.0000,0.000000,,,,0.0000,0.0000,0.0000
220671,Shield 40A,Plasma,20.00,CPT,4.6600,93.200000,,,,0.0000,0.0000,0.0000
220671,Shield 40A,Plasma,94.00,JHB,4.6600,438.040000,,,,0.0000,0.0000,0.0000
220673,Shield,Plasma,41.00,CPT,0.0000,0.000000,,,,0.0000,0.0000,0.0000
220673,Shield,Plasma,4.00,JHB,0.0000,0.000000,,,,0.0000,0.0000,0.0000
220674,Shield Hand,Plasma,40.00,CPT,0.0000,0.000000,,,,0.0000,0.0000,0.0000
220674,Shield Hand,Plasma,80.00,JHB,47.1904,3775.232000,,,,0.0000,0.0000,0.0000
220674,Shield Hand,Plasma,-35.00,JHB,47.1904,-1651.664000,,,,0.0000,0.0000,0.0000
220675,Shield,Plasma Jhb,19.00,JHB,0.0000,0.000000,,,,0.0000,0.0000,0.0000
220700,Water Tube,Plasma,1.00,CPT,0.0000,0.000000,,,,0.0000,0.0000,0.0000
220705,Quick Disconnect,Plasma,1.00,CPT,0.0000,0.000000,,,,0.0000,0.0000,0.0000
220705,Quick Disconnect,Plasma,3.00,JHB,0.0000,0.000000,,,,0.0000,0.0000,0.0000
220706,Quick Disconnect Torch,Plasma,1.00,CPT,0.0000,0.000000,,,,0.0000,0.0000,0.0000
220706,Quick Disconnect Torch,Plasma,2.00,JHB,7616.7686,15233.537200,,,,0.0000,0.0000,0.0000
220713,Retaining Cap,Plasma,6.00,CPT,0.0000,0.000000,,,,0.0000,0.0000,0.0000
220713,Retaining Cap,Plasma,2.00,JHB,0.0000,0.000000,,,,0.0000,0.0000,0.0000
220719,Nozzle,,3.00,JHB,0.0000,0.000000,,,,0.0000,0.0000,0.0000
220740,Inner Retaining Cap,Plasma,1.00,CPT,0.0000,0.000000,,,,0.0000,0.0000,0.0000
220741,Shield 260A,Plasma,19.00,CPT,0.0000,0.000000,,,,0.0000,0.0000,0.0000
220742,Shield 80/130A,Plasma,20.00,CPT,0.0000,0.000000,,,,0.0000,0.0000,0.0000
220747,Shield 30-130A,Plasma,4.00,CPT,0.0000,0.000000,,,,0.0000,0.0000,0.0000
220747,Shield 30-130A,Plasma,20.00,JHB,0.0000,0.000000,,,,0.0000,0.0000,0.0000
220747,Shield 30-130A,Plasma,-4.00,JHB,0.0000,0.000000,,,,0.0000,0.0000,0.0000
220754,Inner Retaining Cap 30-130A,Plasma,4.00,CPT,0.0000,0.000000,,,,0.0000,0.0000,0.0000
220755,Inner Retaining Cap,Plasma,1.00,JHB,0.0000,0.000000,,,,0.0000,0.0000,0.0000
220756,Inner Retaining Cap,Plasma,2.00,CPT,0.0000,0.000000,,,,0.0000,0.0000,0.0000
220756,Inner Retaining Cap,Plasma,15.00,JHB,0.0000,0.000000,,,,0.0000,0.0000,0.0000
220757,Retaining Cap 200A,Plasma,14.00,CPT,0.0000,0.000000,,,,0.0000,0.0000,0.0000
220757,Retaining Cap 200A,Plasma,3.00,JHB,0.0000,0.000000,,,,0.0000,0.0000,0.0000
220758,Nozzle Retaining Cap,Plasma,1.00,CPT,0.0000,0.000000,,,,0.0000,0.0000,0.0000
220760,Retaining Cap,Plasma,9.00,CPT,0.0000,0.000000,,,,0.0000,0.0000,0.0000
220760,Retaining Cap,Plasma,6.00,JHB,0.0000,0.000000,,,,0.0000,0.0000,0.0000
220760 UR,Retaining Cap,Plasma,7.00,CPT,0.0000,0.000000,,,,0.0000,0.0000,0.0000
220761,Shield 200A,Plasma,177.00,JHB,0.0000,0.000000,,,,0.0000,0.0000,0.0000
220764,Shield 260A,Plasma,88.00,CPT,0.0000,0.000000,,,,0.0000,0.0000,0.0000
220764,Shield 260A,Plasma,-5.00,CPT,0.0000,0.000000,,,,0.0000,0.0000,0.0000
220764,Shield 260A,Plasma,19.00,JHB,0.0000,0.000000,,,,0.0000,0.0000,0.0000
220798,Shield,Plasma Jhb,79.00,JHB,0.0000,0.000000,,,,0.0000,0.0000,0.0000
220816,Nozzle 85A,Plasma,102.00,CPT,5.7300,584.460000,,,,0.0000,0.0000,0.0000
220816,Nozzle 85A,Plasma,455.00,JHB,5.7300,2607.150000,,,,0.0000,0.0000,0.0000
220816,Nozzle 85A,Plasma,-5.00,JHB,5.7300,-28.650000,,,,0.0000,0.0000,0.0000
220817,Shield,Plasma,17.00,CPT,26.8300,456.110000,,,,0.0000,0.0000,0.0000
220817,Shield,Plasma,130.00,JHB,26.8300,3487.900000,,,,0.0000,0.0000,0.0000
220818,Shield,Plasma Jhb,3.00,CPT,0.0000,0.000000,,,,0.0000,0.0000,0.0000
220818,Shield,Plasma Jhb,-1.00,CPT,0.0000,0.000000,,,,0.0000,0.0000,0.0000
220818,Shield,Plasma Jhb,30.00,JHB,0.0000,0.000000,,,,0.0000,0.0000,0.0000
220819,Nozzle 65A,Plasma,5.00,CPT,4.3900,21.950000,,,,0.0000,0.0000,0.0000
220819,Nozzle 65A,Plasma,-5.00,CPT,4.3900,-21.950000,,,,0.0000,0.0000,0.0000
220819,Nozzle 65A,Plasma,289.00,JHB,4.3900,1268.710000,,,,0.0000,0.0000,0.0000
220831,Nozzle,Plasma,65.00,JHB,0.0000,0.000000,,,,0.0000,0.0000,0.0000
220832,Shield 200A,Plasma,70.00,JHB,0.0000,0.000000,,,,0.0000,0.0000,0.0000
220834,Swirl Ring,Plasma,20.00,CPT,0.0000,0.000000,,,,0.0000,0.0000,0.0000
220834,Swirl Ring,Plasma,10.00,JHB,0.0000,0.000000,,,,0.0000,0.0000,0.0000
220842,Electrode 45-105A,Plasma,68.00,CPT,38.3900,2610.520000,,,,0.0000,0.0000,0.0000
220842,Electrode 45-105A,Plasma,5.00,CPT,2408.9725,12044.862500,,,,0.0000,0.0000,0.0000
220842,Electrode 45-105A,Plasma,62.00,CPT,38.3900,2380.180000,,,,0.0000,0.0000,0.0000
220842,Electrode 45-105A,Plasma,574.00,JHB,38.3900,22035.860000,,,,0.0000,0.0000,0.0000
220842,Electrode 45-105A,Plasma,-302.00,JHB,38.3900,-11593.780000,,,,0.0000,0.0000,0.0000
220854,Retaining Cap,Plasma,8.00,CPT,0.0000,0.000000,,,,0.0000,0.0000,0.0000
220854,Retaining Cap,Plasma,-2.00,CPT,0.0000,0.000000,,,,0.0000,0.0000,0.0000
220854,Retaining Cap,Plasma,31.00,JHB,0.0000,0.000000,,,,0.0000,0.0000,0.0000
220854,Retaining Cap,Plasma,-6.00,JHB,0.0000,0.000000,,,,0.0000,0.0000,0.0000
220857,Swirl Ring,Plasma,8.00,CPT,0.0000,0.000000,,,,0.0000,0.0000,0.0000
220857,Swirl Ring,Plasma,30.00,JHB,0.0000,0.000000,,,,0.0000,0.0000,0.0000
220890,Nozzle 50A,Plasma,18.00,CPT,0.0000,0.000000,,,,0.0000,0.0000,0.0000
220890,Nozzle 50A,Plasma,-2.00,CPT,0.0000,0.000000,,,,0.0000,0.0000,0.0000
220890,Nozzle 50A,Plasma,30.00,JHB,0.0000,0.000000,,,,0.0000,0.0000,0.0000
220891,Nozzle 50A,Plasma,25.00,JHB,0.0000,0.000000,,,,0.0000,0.0000,0.0000
220892,Nozzle 130A,Plasma,28.00,CPT,0.0000,0.000000,,,,0.0000,0.0000,0.0000
220892,Nozzle 130A,Plasma,-3.00,CPT,0.0000,0.000000,,,,0.0000,0.0000,0.0000
220892,Nozzle 130A,Plasma,15.00,JHB,0.0000,0.000000,,,,0.0000,0.0000,0.0000
220893,Nozzle 130A,Plasma,88.00,JHB,0.0000,0.000000,,,,0.0000,0.0000,0.0000
220927,Nozzle,,40.00,JHB,35.3993,1415.972000,,,,0.0000,0.0000,0.0000
220930,Nozzle 30-45A,Plasma Jhb,180.00,JHB,11.3800,2048.400000,,,,0.0000,0.0000,0.0000
220931,Shield,Plasma Jhb,10.00,JHB,0.0000,0.000000,,,,0.0000,0.0000,0.0000
220935,Retaining Cap,Plasma,8.00,CPT,101.8800,815.040000,,,,0.0000,0.0000,0.0000
220935,Retaining Cap,Plasma,-1.00,CPT,101.8800,-101.880000,,,,0.0000,0.0000,0.0000
220936,Retaining Cap,Plasma,2.00,JHB,0.0000,0.000000,,,,0.0000,0.0000,0.0000
220937,Electrode 200A,Plasma,60.00,CPT,0.0000,0.000000,,,,0.0000,0.0000,0.0000
220937,Electrode 200A,Plasma,60.00,JHB,0.0000,0.000000,,,,0.0000,0.0000,0.0000
220941,Nozzle fine cut 45A,Plasma Jhb,80.00,JHB,0.0000,0.000000,,,,0.0000,0.0000,0.0000
220947,Swirl Ring,Plasma Jhb,10.00,JHB,0.0000,0.000000,,,,0.0000,0.0000,0.0000
220948,Shield,Plasma Jhb,54.00,JHB,0.0000,0.000000,,,,0.0000,0.0000,0.0000
220953,Retaining Cap,Plasma,28.00,JHB,158.7400,4444.720000,,,,0.0000,0.0000,0.0000
220953,Retaining Cap,Plasma,-4.00,JHB,158.7400,-634.960000,,,,0.0000,0.0000,0.0000
220955,Deflector,Plasma,4.00,JHB,0.0000,0.000000,,,,0.0000,0.0000,0.0000
220971,Electrode,Plasma,22.00,JHB,0.0000,0.000000,,,,0.0000,0.0000,0.0000
220971B,Electrode Standard,,137.00,JHB,0.0000,0.000000,,,,0.0000,0.0000,0.0000
220971S,Electrode Silver,,268.00,JHB,44.6800,11974.240000,,,,0.0000,0.0000,0.0000
220971S,Electrode Silver,,-50.00,JHB,44.6800,-2234.000000,,,,0.0000,0.0000,0.0000
220975,Nozzle,Plasma,397.00,JHB,23.4900,9325.530000,,,,0.0000,0.0000,0.0000
220975,Nozzle,Plasma,-90.00,JHB,23.4900,-2114.100000,,,,0.0000,0.0000,0.0000
220976,Shield 105A,Plasma,252.00,JHB,6.3600,1602.720000,,,,0.0000,0.0000,0.0000
220976,Shield 105A,Plasma,-20.00,JHB,6.3600,-127.200000,,,,0.0000,0.0000,0.0000
220977,Retaining Cap,Plasma Jhb,19.00,JHB,234.8700,4462.530000,,,,0.0000,0.0000,0.0000
220990,Nozzle 105A,Plasma,20.00,CPT,13.4000,268.000000,,,,0.0000,0.0000,0.0000
220990,Nozzle 105A,Plasma,310.00,JHB,13.4000,4154.000000,,,,0.0000,0.0000,0.0000
220990,Nozzle 105A,Plasma,-130.00,JHB,13.4000,-1742.000000,,,,0.0000,0.0000,0.0000
220992,Shield,Plasma Jhb,20.00,JHB,0.0000,0.000000,,,,0.0000,0.0000,0.0000
220993,Shield,Plasma,107.00,JHB,26.1200,2794.840000,,,,0.0000,0.0000,0.0000
220993,Shield,Plasma,-30.00,JHB,26.1200,-783.600000,,,,0.0000,0.0000,0.0000
220994,Swirl Ring,Plasma,76.00,JHB,0.0000,0.000000,,,,0.0000,0.0000,0.0000
220997,Swirl Ring,Plasma,107.00,JHB,0.0000,0.000000,,,,0.0000,0.0000,0.0000
220997,Swirl Ring,Plasma,-5.00,JHB,0.0000,0.000000,,,,0.0000,0.0000,0.0000
228295,TTS295;LEADS 7.5M,Plasma Jhb,1.00,JHB,0.0000,0.000000,,,,0.0000,0.0000,0.0000
228716,Plasma Main Body,Plasma,3.00,CPT,0.0000,0.000000,,,,0.0000,0.0000,0.0000
228716,Plasma Main Body,Plasma,5.00,JHB,0.0000,0.000000,,,,0.0000,0.0000,0.0000
277115,Shield Cap 50A,Plasma,1.00,JHB,0.0000,0.000000,,,,0.0000,0.0000,0.0000
277117,Shield Cap 150A,Plasma,151.00,JHB,0.0000,0.000000,,,,0.0000,0.0000,0.0000
277120,Nozzle 30A,Plasma,2.00,JHB,0.0000,0.000000,,,,0.0000,0.0000,0.0000
277122,Nozzle 50A,Plasma,9.00,JHB,0.0000,0.000000,,,,0.0000,0.0000,0.0000
277125,Nozzle 70A,Plasma,47.00,JHB,0.0000,0.000000,,,,0.0000,0.0000,0.0000
277130,Electrode 30A,Plasma,6.00,JHB,0.0000,0.000000,,,,0.0000,0.0000,0.0000
277131,Electrode 50/70A,Plasma,90.00,JHB,0.0000,0.000000,,,,0.0000,0.0000,0.0000
277139,Swirl Ring 150A,Plasma,62.00,JHB,0.0000,0.000000,,,,0.0000,0.0000,0.0000
277140,Swirl Ring 30-70A,Plasma,30.00,CPT,0.0000,0.000000,,,,0.0000,0.0000,0.0000
277140,Swirl Ring 30-70A,Plasma,46.00,JHB,0.0000,0.000000,,,,0.0000,0.0000,0.0000
277142,Swirl Ring 50-70A,Plasma,46.00,JHB,0.0000,0.000000,,,,0.0000,0.0000,0.0000
277143,Swirl Ring 200A,Plasma,46.00,JHB,0.0000,0.000000,,,,0.0000,0.0000,0.0000
277145,Shield Cap 30A,Plasma,5.00,JHB,0.0000,0.000000,,,,0.0000,0.0000,0.0000
277150,Shield Cap 70A,Plasma,46.00,JHB,0.0000,0.000000,,,,0.0000,0.0000,0.0000
277151,Inner Retaining Cap 100-150A,Plasma,1.00,CPT,0.0000,0.000000,,,,0.0000,0.0000,0.0000
277151,Inner Retaining Cap 100-150A,Plasma,2.00,JHB,0.0000,0.000000,,,,0.0000,0.0000,0.0000
277152,Inner Retaining Cap 150A,Plasma,8.00,JHB,0.0000,0.000000,,,,0.0000,0.0000,0.0000
277153,Inner Retaining Cap 30-70A,Plasma,6.00,JHB,0.0000,0.000000,,,,0.0000,0.0000,0.0000
277154,Outer Retaining Cap 30-275A,Plasma,5.00,JHB,0.0000,0.000000,,,,0.0000,0.0000,0.0000
277258,Swirl Ring 275A,Plasma,37.00,JHB,0.0000,0.000000,,,,0.0000,0.0000,0.0000
277263,Shield Cap 275A,Plasma,89.00,JHB,0.0000,0.000000,,,,0.0000,0.0000,0.0000
277266,Inner Retaining Cap 200-275A,Plasma,5.00,JHB,0.0000,0.000000,,,,0.0000,0.0000,0.0000
277269,Nozzle 275A,Plasma,89.00,JHB,0.0000,0.000000,,,,0.0000,0.0000,0.0000
277270,Electrode 275A,Plasma,132.00,JHB,0.0000,0.000000,,,,0.0000,0.0000,0.0000
277274,Shield 200A,Plasma,59.00,JHB,0.0000,0.000000,,,,0.0000,0.0000,0.0000
277276,Nozzle 275A,Plasma,30.00,CPT,0.0000,0.000000,,,,0.0000,0.0000,0.0000
277282,Electrode 100A,Plasma,32.00,CPT,0.0000,0.000000,,,,0.0000,0.0000,0.0000
277282,Electrode 100A,Plasma,-20.00,CPT,0.0000,0.000000,,,,0.0000,0.0000,0.0000
277282,Electrode 100A,Plasma,87.00,JHB,0.0000,0.000000,,,,0.0000,0.0000,0.0000
277283,Swirl Ring 100A,Plasma,6.00,CPT,0.0000,0.000000,,,,0.0000,0.0000,0.0000
277283,Swirl Ring 100A,Plasma,-5.00,CPT,0.0000,0.000000,,,,0.0000,0.0000,0.0000
277283,Swirl Ring 100A,Plasma,52.00,JHB,0.0000,0.000000,,,,0.0000,0.0000,0.0000
277284,Nozzle 100A,Plasma,31.00,CPT,22.0200,682.620000,,,,0.0000,0.0000,0.0000
277284,Nozzle 100A,Plasma,-20.00,CPT,22.0200,-440.400000,,,,0.0000,0.0000,0.0000
277284,Nozzle 100A,Plasma,64.00,JHB,22.0200,1409.280000,,,,0.0000,0.0000,0.0000
277286,Shield 100A,Plasma,43.00,CPT,58.0100,2494.430000,,,,0.0000,0.0000,0.0000
277286,Shield 100A,Plasma,-20.00,CPT,58.0100,-1160.200000,,,,0.0000,0.0000,0.0000
277286,Shield 100A,Plasma,52.00,JHB,58.0100,3016.520000,,,,0.0000,0.0000,0.0000
277289,Nozzle 200A,Plasma,57.00,JHB,0.0000,0.000000,,,,0.0000,0.0000,0.0000
277291,Electrode 200A,Plasma,121.00,JHB,0.0000,0.000000,,,,0.0000,0.0000,0.0000
277292,Electrode 150A,Plasma,99.00,JHB,0.0000,0.000000,,,,0.0000,0.0000,0.0000
277293,Nozzle 150A,Plasma,96.00,JHB,0.0000,0.000000,,,,0.0000,0.0000,0.0000
279150,Torch head Kaliburn,Plasma,1.00,CPT,0.0000,0.000000,,,,0.0000,0.0000,0.0000
37081,Shield Cap,Plasma Jhb,2.00,JHB,0.0000,0.000000,,,,0.0000,0.0000,0.0000
37082,Shield Cap,Plasma Jhb,4.00,JHB,0.0000,0.000000,,,,0.0000,0.0000,0.0000
420044,Nozzle 200A,Plasma Jhb,33.00,CPT,0.0000,0.000000,,,,0.0000,0.0000,0.0000
420044,Nozzle 200A,Plasma Jhb,-2.00,CPT,0.0000,0.000000,,,,0.0000,0.0000,0.0000
420044,Nozzle 200A,Plasma Jhb,62.00,JHB,0.0000,0.000000,,,,0.0000,0.0000,0.0000
420045,Shield 200A,Plasma Jhb,43.00,CPT,0.0000,0.000000,,,,0.0000,0.0000,0.0000
420045,Shield 200A,Plasma Jhb,43.00,JHB,0.0000,0.000000,,,,0.0000,0.0000,0.0000
420151,Nozzle,Plasma Jhb,60.00,JHB,0.0000,0.000000,,,,0.0000,0.0000,0.0000
420152A,Shield,Plasma Jhb,20.00,JHB,0.0000,0.000000,,,,0.0000,0.0000,0.0000
420156,Ret.Cap IHS PMX125,Plasma Jhb,71.00,JHB,0.0000,0.000000,,,,0.0000,0.0000,0.0000
420156,Ret.Cap IHS PMX125,Plasma Jhb,-4.00,JHB,0.0000,0.000000,,,,0.0000,0.0000,0.0000
420158,Nozzle,,50.00,JHB,0.0000,0.000000,,,,0.0000,0.0000,0.0000
420159,Swirl ring,Plasma Jhb,10.00,JHB,0.0000,0.000000,,,,0.0000,0.0000,0.0000
420168,Shield 65A PMX 125,Plasma Jhb,22.00,JHB,0.0000,0.000000,,,,0.0000,0.0000,0.0000
420169,Nozzle 65A PMX125,Plasma Jhb,377.00,JHB,0.0000,0.000000,,,,0.0000,0.0000,0.0000
420169,Nozzle 65A PMX125,Plasma Jhb,-10.00,JHB,0.0000,0.000000,,,,0.0000,0.0000,0.0000
420240,Electrode 80A,Plasma Jhb,-20.00,CPT,0.0000,0.000000,,,,0.0000,0.0000,0.0000
420240,Electrode 80A,Plasma Jhb,30.00,JHB,0.0000,0.000000,,,,0.0000,0.0000,0.0000
420243,Nozzle 80A,Plasma Jhb,10.00,JHB,0.0000,0.000000,,,,0.0000,0.0000,0.0000
420246,Shield 80A,Plasma Jhb,10.00,CPT,0.0000,0.000000,,,,0.0000,0.0000,0.0000
420258,Electrode 170Z,Plasma Jhb,8.00,CPT,0.0000,0.000000,,,,0.0000,0.0000,0.0000
420258,Electrode 170Z,Plasma Jhb,2.00,JHB,0.0000,0.000000,,,,0.0000,0.0000,0.0000
420260,Swirl Ring,Plasma Jhb,5.00,CPT,0.0000,0.000000,,,,0.0000,0.0000,0.0000
420261A,Nozzle 170A,Plasma Jhb,8.00,CPT,0.0000,0.000000,,,,0.0000,0.0000,0.0000
420261A,Nozzle 170A,Plasma Jhb,2.00,JHB,0.0000,0.000000,,,,0.0000,0.0000,0.0000
420276,Electrode 300A,Plasma Jhb,8.00,CPT,0.0000,0.000000,,,,0.0000,0.0000,0.0000
420276,Electrode 300A,Plasma Jhb,2.00,JHB,0.0000,0.000000,,,,0.0000,0.0000,0.0000
420279,Nozzle 30 A,Plasma Jhb,8.00,CPT,0.0000,0.000000,,,,0.0000,0.0000,0.0000
420279,Nozzle 30 A,Plasma Jhb,2.00,JHB,0.0000,0.000000,,,,0.0000,0.0000,0.0000
420365,Nozzle Retaining Cap,Plasma Jhb,2.00,JHB,0.0000,0.000000,,,,0.0000,0.0000,0.0000
420368,Cooling Tube,Plasma Jhb,1.00,CPT,0.0000,0.000000,,,,0.0000,0.0000,0.0000
420368,Cooling Tube,Plasma Jhb,4.00,JHB,0.0000,0.000000,,,,0.0000,0.0000,0.0000
420406,Swirl Ring,Plasma Jhb,5.00,CPT,0.0000,0.000000,,,,0.0000,0.0000,0.0000
420491,Sield 300A,Plasma Jhb,8.00,CPT,0.0000,0.000000,,,,0.0000,0.0000,0.0000
420491,Sield 300A,Plasma Jhb,2.00,JHB,0.0000,0.000000,,,,0.0000,0.0000,0.0000
420513,Shield 170A,Plasma Jhb,10.00,JHB,0.0000,0.000000,,,,0.0000,0.0000,0.0000
428147,nozzle,,12.00,JHB,0.0000,0.000000,,,,0.0000,0.0000,0.0000
558009425,T-12231 Shield 2.5mm PT36,Plasma Jhb,10.00,JHB,0.0000,0.000000,,,,0.0000,0.0000,0.0000
6290-VAX1,A-1304: Cutting Tip 0-8mm,Plasma Jhb,5.00,CPT,0.0000,0.000000,,,,0.0000,0.0000,0.0000
6290-VAX2,A-1305: Cutting Tip 8-15mm,Plasma Jhb,2.00,CPT,0.0000,0.000000,,,,0.0000,0.0000,0.0000
6290-VAX3,A-1306: Cutting Tip 15-35mm,Plasma Jhb,4.00,CPT,0.0000,0.000000,,,,0.0000,0.0000,0.0000
6290-VAX4,A-1307: 6290-VAX4: Cutting Tip 35-75mm,Plasma Jhb,4.00,CPT,0.0000,0.000000,,,,0.0000,0.0000,0.0000
6290-VAX5,A-1308:Cutting tip. 75 - 150mm:6290-VAX:,Plasma Jhb,2.00,CPT,0.0000,0.000000,,,,0.0000,0.0000,0.0000
6290-VAX6,A-1309:Cutting tip. 150 - 200mm:6290-VAX,Plasma Jhb,3.00,JHB,0.0000,0.000000,,,,0.0000,0.0000,0.0000
6290-VVC0,A-1163:Cutting tip. 12.5 - 20mm:6290-VVC,Plasma Jhb,18.00,JHB,0.0000,0.000000,,,,0.0000,0.0000,0.0000
6290-VVC00,A-1162:Cutting tip. 9 - 12.5mm:6290-VVC:,Plasma Jhb,20.00,JHB,0.0000,0.000000,,,,0.0000,0.0000,0.0000
6290-VVC01/2,A-1164 Cutting Tip 20-35mm Harris,Plasma Jhb,5.00,CPT,0.0000,0.000000,,,,0.0000,0.0000,0.0000
6290-VVC1,A-1165:Cutting tip. 35 - 60mm:6290-VVC:H,Plasma Jhb,5.00,CPT,0.0000,0.000000,,,,0.0000,0.0000,0.0000
6290-VVC1-1/2,A-1166 Cutting Tip 60-75mm Harris,Plasma Jhb,10.00,JHB,0.0000,0.000000,,,,0.0000,0.0000,0.0000
6290-VVC2,A-1167:Cutting tip. 75 - 125mm:6290-VVC:,Plasma Jhb,3.00,CPT,0.0000,0.000000,,,,0.0000,0.0000,0.0000
6290-VVC2,A-1167:Cutting tip. 75 - 125mm:6290-VVC:,Plasma Jhb,9.00,JHB,0.0000,0.000000,,,,0.0000,0.0000,0.0000
6290-VVC2-1/2,A-1168 Cutting Tip 125-150mm Harris,Plasma Jhb,11.00,JHB,0.0000,0.000000,,,,0.0000,0.0000,0.0000
6290-VVC3,A-1169:Cutting tip. 150- 175mm:6290-VVC:,Plasma Jhb,7.00,CPT,0.0000,0.000000,,,,0.0000,0.0000,0.0000
6290-VVC3/0,A-1161:Cutting tip. 6 - 9mm:6290-VVC:HAR,Plasma Jhb,8.00,JHB,0.0000,0.000000,,,,0.0000,0.0000,0.0000
6290-VVC4,A-1170:Cutting tip. 175 - 200mm:6290-VVC,Plasma Jhb,9.00,CPT,0.0000,0.000000,,,,0.0000,0.0000,0.0000
6290-VVC4/0,A-1160 Cutting Tip 4-6mm Harris,Plasma Jhb,8.00,JHB,0.0000,0.000000,,,,0.0000,0.0000,0.0000
6290-VVC5,A-1171:Cutting tip. 200 - 225mm:6290-VVC,Plasma Jhb,7.00,CPT,0.0000,0.000000,,,,0.0000,0.0000,0.0000
6290-VVC5-1/2,A-1172 Cutting Tip 225-250mm Harris,Plasma Jhb,15.00,JHB,0.0000,0.000000,,,,0.0000,0.0000,0.0000
6290-VVC5/0,A-1159 Cutting Tip 1-4mm Harris,Plasma Jhb,5.00,JHB,0.0000,0.000000,,,,0.0000,0.0000,0.0000
716 11301,716.11301;A-1434;Torch Cap,Plasma Jhb,4.00,JHB,0.0000,0.000000,,,,0.0000,0.0000,0.0000
716 15900,A-1281 Heating Nozzle 3-100mm Messer,Plasma Jhb,56.00,JHB,37.0800,2076.480000,,,,0.0000,0.0000,0.0000
716 15901,A-1282:Cutting Tip 3 -10 mm:1230-PMYF,Plasma Jhb,67.00,JHB,0.0000,0.000000,,,,0.0000,0.0000,0.0000
716 15902,A-1283:Cutting Tip 7 -15 mm:1230-PMYF,Plasma Jhb,5.00,CPT,0.0000,0.000000,,,,0.0000,0.0000,0.0000
716 15902,A-1283:Cutting Tip 7 -15 mm:1230-PMYF,Plasma Jhb,35.00,JHB,0.0000,0.000000,,,,0.0000,0.0000,0.0000
716 15903,A-1235:Cutting Tip 15 - 25 mm:1230-PMYF,Plasma Jhb,97.00,JHB,27.9000,2706.300000,,,,0.0000,0.0000,0.0000
716 15904,A-1236:Cutting Tip 25 - 40 mm:1230-PMYF,Plasma Jhb,38.00,CPT,0.0000,0.000000,,,,0.0000,0.0000,0.0000
716 15904,A-1236:Cutting Tip 25 - 40 mm:1230-PMYF,Plasma Jhb,28.00,JHB,0.0000,0.000000,,,,0.0000,0.0000,0.0000
716 15904,A-1236:Cutting Tip 25 - 40 mm:1230-PMYF,Plasma Jhb,60.00,JHB,49.2900,2957.400000,,,,0.0000,0.0000,0.0000
716 15905,A-1237:Cutting Tip 40 - 60 mm:1230-PMYF,Plasma Jhb,75.00,JHB,49.2900,3696.750000,,,,0.0000,0.0000,0.0000
716 15906,A-1238:Cutting Tip 60 -100 mm:1230-PMYF,Plasma Jhb,14.00,JHB,70.3600,985.040000,,,,0.0000,0.0000,0.0000
716 15906,A-1238:Cutting Tip 60 -100 mm:1230-PMYF,Plasma Jhb,-5.00,JHB,70.3600,-351.800000,,,,0.0000,0.0000,0.0000
716 1634,A-1480: Heating Nozzle 100-300mm,Plasma Jhb,3.00,CPT,0.0000,0.000000,,,,0.0000,0.0000,0.0000
716 1655,716.16550; A-1361; Heating Nozzle 3-100,Plasma Jhb,95.00,JHB,0.0000,0.000000,,,,0.0000,0.0000,0.0000
